group,N,ln_order,max_cycle_ratio,cycle_count
Chaos-Chebyshev,1024,23.623931345268346,0.4267578125,9
Chaos-Chebyshev,1024,17.950667546660856,0.3349609375,9
Chaos-Chebyshev,1024,9.536762272743895,0.966796875,7
Chaos-Chebyshev,1024,19.125118693210787,0.798828125,6
Chaos-Chebyshev,1024,20.887798505509988,0.59375,5
Chaos-Chebyshev,1024,24.589074715151035,0.3134765625,14
Chaos-Chebyshev,1024,15.796542371198049,0.8369140625,5
Chaos-Chebyshev,1024,10.690944412566814,0.9755859375,5
Chaos-Chebyshev,1024,14.888753755281842,0.830078125,6
Chaos-Chebyshev,1024,32.43319753743984,0.267578125,13
Chaos-Chebyshev,1024,18.83353282109932,0.462890625,9
Chaos-Chebyshev,1024,15.421855692688126,0.546875,8
Chaos-Chebyshev,1024,19.520176312413998,0.8779296875,8
Chaos-Chebyshev,1024,13.693749620938666,0.84765625,7
Chaos-Chebyshev,1024,21.78308776904456,0.5927734375,6
Chaos-Chebyshev,1024,18.367427551270897,0.4873046875,7
Chaos-Chebyshev,1024,8.679312040892672,0.7177734375,5
Chaos-Chebyshev,1024,21.167059760585396,0.63671875,8
Chaos-Chebyshev,1024,20.07773899371808,0.462890625,11
Chaos-Chebyshev,1024,25.40218182851383,0.6708984375,11
Chaos-Chebyshev,1024,27.88265079716535,0.4736328125,15
Chaos-Chebyshev,1024,15.120258581525594,0.7177734375,8
Chaos-Chebyshev,1024,15.148673093528213,0.8017578125,5
Chaos-Chebyshev,1024,16.675893787966718,0.5830078125,7
Chaos-Chebyshev,1024,21.84891382517775,0.6171875,9
Chaos-Chebyshev,1024,10.692172159805137,0.955078125,6
Chaos-Chebyshev,1024,13.155372531011274,0.8701171875,8
Chaos-Chebyshev,1024,16.66031993678335,0.419921875,9
Chaos-Chebyshev,1024,19.7774729858242,0.50390625,6
Chaos-Chebyshev,1024,12.965358628594164,0.7587890625,7
Chaos-Chebyshev,1024,15.000960875264722,0.783203125,7
Chaos-Chebyshev,1024,8.521185212685776,0.98046875,2
Chaos-Chebyshev,1024,17.989730429234157,0.4970703125,9
Chaos-Chebyshev,1024,25.057379009790033,0.51171875,12
Chaos-Chebyshev,1024,13.049534586748987,0.7275390625,4
Chaos-Chebyshev,1024,20.462049789025926,0.603515625,12
Chaos-Chebyshev,1024,23.85732047718352,0.6611328125,10
Chaos-Chebyshev,1024,19.429665392560953,0.4892578125,8
Chaos-Chebyshev,1024,8.855663430700124,0.978515625,3
Chaos-Chebyshev,1024,13.224992165289034,0.7119140625,4
Chaos-Chebyshev,1024,25.47717662424253,0.359375,13
Chaos-Chebyshev,1024,17.56935367720427,0.5947265625,7
Chaos-Sine,1024,18.830313475440995,0.7822265625,8
Chaos-Sine,1024,21.005524032234096,0.3154296875,5
Chaos-Sine,1024,16.83936079041816,0.78515625,8
Chaos-Sine,1024,28.690357885791173,0.2734375,12
Chaos-Sine,1024,16.157216359111267,0.7890625,6
Chaos-Sine,1024,12.157659410314098,0.92578125,3
Chaos-Sine,1024,17.42822213130722,0.7353515625,6
Chaos-Sine,1024,9.390659926099465,0.974609375,3
Chaos-Sine,1024,14.592350698988353,0.728515625,5
Chaos-Sine,1024,11.048888002702997,0.974609375,6
Chaos-Sine,1024,16.35049226038458,0.3779296875,10
Chaos-Sine,1024,18.763155230973975,0.6318359375,7
Chaos-Sine,1024,19.309347009550308,0.609375,8
Chaos-Sine,1024,21.67791280842424,0.4794921875,9
Chaos-Sine,1024,11.577982601603532,0.861328125,7
Chaos-Sine,1024,20.05226441874928,0.646484375,11
Chaos-Sine,1024,19.272586133356498,0.6220703125,9
Chaos-Sine,1024,16.151636804365012,0.5400390625,4
Chaos-Sine,1024,14.130770831785261,0.5390625,6
Chaos-Sine,1024,15.58780174399693,0.71875,6
Chaos-Sine,1024,12.593034282073779,0.5751953125,6
Chaos-Sine,1024,18.007816328362257,0.6904296875,8
Chaos-Sine,1024,22.189444102362017,0.6865234375,10
Chaos-Sine,1024,18.222357358068926,0.6298828125,11
Chaos-Sine,1024,18.394586634724224,0.7490234375,10
Chaos-Sine,1024,26.423230386754053,0.6181640625,12
Chaos-Sine,1024,9.831991550831058,0.95703125,4
Chaos-Sine,1024,19.009841076052652,0.8330078125,8
Chaos-Sine,1024,23.464536863976427,0.501953125,14
Chaos-Sine,1024,19.01957438626562,0.78125,12
Chaos-Sine,1024,27.090505964789855,0.345703125,11
Chaos-Sine,1024,14.992924784869787,0.560546875,5
Chaos-Sine,1024,10.315928274380717,0.9833984375,3
Chaos-Sine,1024,30.055679941830043,0.3466796875,11
Chaos-Sine,1024,21.078146199586943,0.6943359375,9
Chaos-Sine,1024,15.601275428769656,0.5517578125,4
Chaos-Sine,1024,16.4723272523653,0.8525390625,5
Chaos-Sine,1024,20.013433839743474,0.5283203125,6
Chaos-Sine,1024,21.984127049964187,0.494140625,7
Chaos-Sine,1024,18.0004341256148,0.40625,8
Chaos-Sine,1024,16.281126329490217,0.607421875,4
Chaos-Sine,1024,19.559812005234228,0.291015625,6
Chaos-Sine,1024,18.7979101501356,0.8115234375,6
Chaos-Sine,1024,15.003414954111145,0.693359375,9
Chaos-Sine,1024,14.392101450105658,0.7958984375,10
Chaos-Sine,1024,22.60334229048781,0.73046875,8
Chaos-Sine,1024,9.902487052202545,0.9755859375,6
Chaos-Sine,1024,19.726266388163797,0.60546875,6
Chaos-Sine,1024,14.240213427979846,0.578125,8
Chaos-Sine,1024,9.855189767128376,0.9794921875,4
Chaos-Sine,1024,18.48073466177178,0.791015625,6
Chaos-Sine,1024,12.210413211628595,0.740234375,3
Chaos-Sine,1024,18.244162515228076,0.4033203125,5
Chaos-Sine,1024,10.07979103700452,0.970703125,4
Chaos-Sine,1024,16.364818219435854,0.609375,8
Chaos-Sine,1024,25.951953387201215,0.4814453125,9
Chaos-Sine,1024,24.48920731598633,0.3701171875,14
Chaos-Sine,1024,23.300278280397137,0.4501953125,10
Chaos-Sine,1024,9.47669665771321,0.98046875,5
Chaos-Sine,1024,12.216611911837699,0.7392578125,2
Chaos-Henon,1024,16.65654500203193,0.5107421875,11
Chaos-Henon,1024,25.864088826236326,0.349609375,10
Chaos-Henon,1024,18.942766612536722,0.587890625,11
Chaos-Henon,1024,17.638264220934534,0.6318359375,7
Chaos-Henon,1024,14.260846168067216,0.9306640625,7
Chaos-Henon,1024,15.815431505645504,0.697265625,7
Chaos-Henon,1024,19.592613194533186,0.6103515625,7
Chaos-Henon,1024,20.27821109964381,0.42578125,10
